SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,Unnamed: 13
AARTIIND,EQ,513.2,519.8,511.95,514.6,515.55,512.3,957532,494164334.05,01-JUN-2023,24635,INE769A01020,
ABB,EQ,4131.55,4140.0,3936.8,3944.65,3944.9,4125.9,421490,1686074585.15,01-JUN-2023,49443,INE117A01022,
ABBOTINDIA,EQ,21857.7,21889.7,21550.0,21602.65,21550.0,21737.9,10678,232274579.55,01-JUN-2023,3646,INE358A01014,
ABCAPITAL,EQ,170.3,172.5,170.3,171.85,171.5,170.3,2858463,490507056.35,01-JUN-2023,16955,INE674K01013,
ABFRL,EQ,202.1,204.5,201.65,203.3,203.25,201.45,1817415,369158688.8,01-JUN-2023,14805,INE647O01011,
ACC,EQ,1782.0,1823.7,1780.7,1800.3,1799.9,1777.2,542023,979350583.35,01-JUN-2023,32990,INE012A01025,
ADANIENT,EQ,2499.9,2560.0,2485.3,2492.15,2496.0,2493.35,1704946,4275137755.2,01-JUN-2023,72211,INE423A01024,
ADANIPORTS,EQ,730.5,744.95,729.0,732.05,733.0,738.85,3771760,2776423260.05,01-JUN-2023,66793,INE742F01042,
ALKEM,EQ,3383.95,3418.75,3366.45,3380.35,3385.0,3359.6,55564,188303631.0,01-JUN-2023,10717,INE540L01014,
AMBUJACEM,EQ,425.0,431.25,424.0,429.25,429.25,423.6,3422014,1467783681.65,01-JUN-2023,57164,INE079A01024,
APOLLOHOSP,EQ,4689.0,4847.0,4686.0,4814.25,4823.0,4621.95,1692479,8120244772.3,01-JUN-2023,144942,INE437A01024,
APOLLOTYRE,EQ,391.7,393.45,388.85,391.0,389.9,390.8,815217,318838569.05,01-JUN-2023,12829,INE438A01022,
ASHOKLEY,EQ,146.75,148.0,145.65,147.15,147.0,146.3,5844016,859059243.75,01-JUN-2023,31972,INE208A01029,
ASIANPAINT,EQ,3235.35,3249.9,3207.0,3240.7,3240.0,3192.95,1104861,3575856348.15,01-JUN-2023,93247,INE021A01026,
ASTRAL,EQ,1821.0,1837.0,1801.9,1809.1,1813.0,1821.35,376713,686402835.8,01-JUN-2023,32637,INE006I01046,
ATUL,EQ,6733.9,6800.0,6705.5,6742.1,6751.0,6733.9,27550,185824775.0,01-JUN-2023,7754,INE100A01010,
AUBANK,EQ,778.0,782.15,765.3,769.75,771.95,776.9,1386561,1073195211.75,01-JUN-2023,67898,INE949L01017,
AUROPHARMA,EQ,655.5,661.0,646.15,658.7,655.25,658.6,1657715,1085457302.75,01-JUN-2023,38822,INE406A01037,
AXISBANK,EQ,922.0,930.95,916.05,919.7,921.5,914.85,11817533,10918348216.7,01-JUN-2023,167684,INE238A01034,
BAJAJ-AUTO,EQ,4587.0,4669.8,4567.25,4643.6,4641.5,4567.15,698733,3245282336.0,01-JUN-2023,50696,INE917I01010,
BAJAJFINSV,EQ,1455.5,1459.0,1444.0,1450.15,1449.0,1451.05,939379,1364164905.35,01-JUN-2023,41318,INE918I01026,
BAJFINANCE,EQ,7024.0,7057.3,6951.1,7040.5,7036.0,6989.85,590026,4141264175.6,01-JUN-2023,62328,INE296A01024,
BALKRISIND,EQ,2280.95,2309.8,2280.0,2287.4,2286.2,2273.8,210324,481918280.95,01-JUN-2023,21699,INE787D01026,
BALRAMCHIN,EQ,391.45,396.45,389.1,390.5,390.9,392.7,498032,195448885.8,01-JUN-2023,8092,INE119A01028,
BANDHANBNK,EQ,267.2,272.0,265.9,268.35,268.2,268.0,5367508,1448027861.75,01-JUN-2023,47094,INE545U01014,
BANKBARODA,EQ,185.0,187.15,184.1,184.85,184.7,185.0,11592705,2151900633.0,01-JUN-2023,47712,INE028A01039,
BATAINDIA,EQ,1590.0,1599.95,1571.8,1577.85,1577.0,1584.15,76898,121744398.75,01-JUN-2023,6661,INE176A01028,
BEL,EQ,112.2,113.45,112.0,112.9,112.9,112.15,9185292,1037111757.7,01-JUN-2023,67563,INE263A01024,
BERGEPAINT,EQ,652.5,659.75,649.5,650.5,650.3,650.45,632165,413782487.0,01-JUN-2023,25391,INE463A01038,
BHARATFORG,EQ,791.45,799.4,786.25,797.05,796.35,791.3,1065254,847244006.5,01-JUN-2023,24410,INE465A01025,
BHARTIARTL,EQ,837.95,837.95,823.0,827.95,826.85,849.9,9713155,8043168432.4,01-JUN-2023,140155,INE397D01024,
BHEL,EQ,82.0,83.3,81.8,82.0,82.1,81.9,11738032,968931102.3,01-JUN-2023,33502,INE257A01026,
BIOCON,EQ,247.0,247.95,245.0,245.3,245.1,245.2,2522264,621661063.55,01-JUN-2023,22731,INE376G01013,
BOSCHLTD,EQ,18599.95,18719.05,18484.45,18602.0,18625.0,18568.4,43911,816758719.1,01-JUN-2023,8065,INE323A01026,
BPCL,EQ,365.3,368.9,364.1,364.55,364.5,363.5,1768641,647731990.9,01-JUN-2023,33810,INE029A01011,
BRITANNIA,EQ,4655.0,4655.0,4587.55,4635.25,4625.0,4657.05,188427,870180734.45,01-JUN-2023,31898,INE216A01030,
BRITANNIA,N3,28.29,28.55,28.0,28.2,28.25,28.29,40905,1152071.09,01-JUN-2023,235,INE216A08027,
BSOFT,EQ,344.0,350.35,342.05,343.85,343.0,343.5,2102679,728732013.25,01-JUN-2023,28432,INE836A01035,
CANBK,EQ,309.0,311.5,308.7,309.4,309.8,309.7,4686805,1452162890.1,01-JUN-2023,28857,INE476A01014,
CANFINHOME,EQ,711.85,732.55,705.0,728.1,725.7,707.2,1398058,1009634717.45,01-JUN-2023,40413,INE477A01020,
CHAMBLFERT,EQ,282.0,282.75,279.5,280.2,280.3,280.2,532210,149515002.5,01-JUN-2023,11999,INE085A01013,
CHOLAFIN,EQ,1051.0,1051.0,1038.0,1043.9,1041.5,1050.9,847659,884767579.95,01-JUN-2023,52008,INE121A01024,
CHOLAFIN,N0,1010.0,1010.0,1001.0,1001.0,1001.0,1001.0,385,386948.1,01-JUN-2023,4,INE121A07RB5,
CHOLAFIN,N2,1001.95,1001.95,1001.0,1001.0,1001.0,1004.0,285,285551.0,01-JUN-2023,6,INE121A07QW3,
CHOLAFIN,N4,1008.75,1008.75,1008.75,1008.75,1008.75,1008.0,25,25218.75,01-JUN-2023,1,INE121A07QY9,
CHOLAFIN,N5,1000.0,1004.0,1000.0,1004.0,1004.0,1006.0,35,35100.0,01-JUN-2023,4,INE121A07QX1,
CIPLA,EQ,950.0,966.5,946.75,964.75,964.1,953.05,1132919,1086919301.85,01-JUN-2023,37737,INE059A01026,
COALINDIA,EQ,230.4,231.9,229.15,230.35,230.0,241.25,35509867,8178979486.45,01-JUN-2023,140655,INE522F01014,
COFORGE,EQ,4566.0,4590.9,4528.55,4562.15,4560.05,4555.1,220301,1004529080.2,01-JUN-2023,27155,INE591G01017,
COLPAL,EQ,1601.95,1625.0,1600.95,1610.9,1608.0,1591.45,216289,349163392.6,01-JUN-2023,16426,INE259A01022,
CONCOR,EQ,671.5,674.85,658.0,659.45,659.4,670.95,377426,251725101.0,01-JUN-2023,9176,INE111A01025,
COROMANDEL,EQ,960.0,962.95,943.2,946.65,946.55,959.85,278264,264885611.7,01-JUN-2023,11582,INE169A01031,
